slovo,$F-Factor-1,$F-Factor-2,$F-Factor-3,$F-Factor-4,$F-Factor-5
"T",-1.003740,1.062399,0.541287,-0.012719,0.378324
"I",0.178219,-1.243010,0.873290,-0.645598,1.463930
"D",0.798207,-1.083082,0.988691,-1.138845,0.296043
"N",0.719045,0.314055,-0.634861,0.950016,0.341664
"G",-1.486542,-1.277394,-0.221067,0.574189,-0.821522
"S",0.436530,-0.315347,1.023307,1.235091,-1.916850
"B",-0.320296,-0.673428,-0.160443,0.179343,-1.800318
"A",-1.566065,-1.639952,0.096068,-1.590391,0.251585
"J",-1.037303,-0.881607,1.244411,-1.632068,0.774410
"M",2.958790,-2.873742,-0.031731,-2.698952,3.599208
"X",0.214419,-0.406230,0.658033,0.675854,-1.093778
"O",0.785159,0.139412,-0.390138,0.291679,0.888625
"G",0.731562,-0.597430,-0.972354,0.734020,-0.303453
"M",1.672886,0.009459,-0.798702,-0.074415,-1.570030
"R",0.502549,-0.639317,-0.607925,0.798287,-0.232991
"F",0.290857,-0.574071,0.628560,-0.887734,-0.392314
"O",-0.828514,-0.428950,-0.479532,0.017360,-0.204328
"C",0.277827,-0.054360,0.973251,1.439660,1.230298
"T",0.884001,2.384287,0.495592,-0.782008,-0.286996
"J",-1.378592,-0.783067,1.209749,-1.232691,0.898887
"J",-1.679515,-0.048933,1.316978,-1.575386,1.127280
"H",-0.240160,-0.285058,-0.312331,0.189037,-0.245963
"S",-0.810231,-0.609264,-0.227100,0.262340,-2.136481
"O",1.141919,-0.301415,-0.258228,0.689881,0.241171
"J",-0.761347,-0.073223,0.849086,-0.176603,2.761450
"C",0.661952,-0.626252,0.639832,3.125217,1.167502
"M",2.305148,1.199756,-0.786981,0.687600,0.856336
"W",2.719002,1.734707,-1.607687,-0.882718,0.599314
"H",1.190001,-0.426077,-0.378718,0.430124,0.246445
"G",-0.619811,-0.437694,-0.242763,0.650983,-0.096132
"L",-1.431856,-1.101900,-0.544599,1.239343,-0.793029
"L",-1.646710,-1.212105,1.060530,0.145977,0.320215
"X",1.067619,1.705423,1.116613,0.593418,1.801456
"B",1.527603,0.469688,-0.866891,-0.470913,-2.360333
"M",1.300706,-0.050599,-0.238154,-0.382691,1.795260
"G",0.010454,-0.174329,0.038438,1.127532,-0.431914
"O",-0.129870,-0.322562,-0.448250,0.491517,0.094401
"P",-0.734966,1.659753,-0.444012,-0.750350,-1.120497
"G",0.578149,-1.319978,-0.936256,0.321685,0.356004
"E",-0.725706,-0.339855,0.927574,3.631867,0.198984
"X",0.949708,-0.033301,1.514082,-0.446452,0.145686
